CompTotal,YearsOfExperience,MainBranch,Country,EducationLevel,RemoteWork,Salary
120000.0,7.0,Profession,Ukraine,Master's degree,Remote,120000.0
12000.0,3.0,Profession,Germany,Less than Bachelor's degree,In-person,12889.0
100000.0,28.0,Profession,Germany,Master's degree,Remote,107406.0
93000.0,17.0,Profession,United States of America,Master's degree,Remote,93000.0
155250.0,10.0,Profession,United States of America,Bachelor's degree,Remote,155250.0
110000.0,22.0,Profession,Germany,Bachelor's degree,Hybrid,118147.0
150000.0,24.0,Profession,Canada,Master's degree,Remote,109039.0
102000.0,5.0,Profession,United States of America,Bachelor's degree,Remote,102000.0
68000.0,9.0,Profession,Germany,Less than Bachelor's degree,Hybrid,73036.0
150000.0,17.0,Profession,United States of America,Bachelor's degree,Remote,150000.0
165000.0,15.0,Profession,United States of America,Bachelor's degree,Remote,165000.0
76000.0,11.0,Profession,Germany,Master's degree,Remote,81629.0
103000.0,8.0,Profession,Canada,Master's degree,Remote,74874.0
100000.0,7.0,Profession,Germany,Less than Bachelor's degree,Hybrid,107406.0
14400.0,1.0,Profession,Germany,Less than Bachelor's degree,Hybrid,15466.0
120000.0,30.0,Profession,United States of America,Bachelor's degree,Hybrid,120000.0
60000.0,11.0,Developer,Germany,Upper than Master's degree,Hybrid,64444.0
50000.0,6.0,Profession,France,Master's degree,In-person,53703.0
91500.0,8.0,Profession,United States of America,Bachelor's degree,In-person,91500.0
140000.0,7.0,Profession,United States of America,Master's degree,Hybrid,140000.0
97000.0,13.0,Profession,United States of America,Bachelor's degree,Remote,97000.0
135200.0,9.0,Profession,United States of America,Bachelor's degree,Hybrid,135200.0
80054.0,17.0,Profession,Germany,Master's degree,Hybrid,85983.0
35000.0,2.0,Profession,United States of America,Bachelor's degree,Hybrid,35000.0
